University,City,Country,CourseName,CourseDescription,StartDate,EndDate,Price,Currency
Beijing Normal University,Humen,China,Research Associate,Organized fault-tolerant flexibility,2019-09-08,2019-12-22,7856.34,CNY
Engineering Faculty of Asian University,Ban Ratsada,Thailand,Structural Analysis Engineer,Optional bottom-line system engine,2019-02-26,2019-05-21,8642.5,THB
Ho Chi Minh City University of Technology,Đắk Mil,Vietnam,Mechanical Systems Engineer,Profound bandwidth-monitored leverage,2017-01-17,2017-06-09,9193.19,VND
International Hellenic University,Rizári,Greece,Geological Engineer,Up-sized hybrid Graphic Interface,2017-04-20,2017-05-02,644.0,EUR
"Federal University of Technology, Minna",Bununu Kasa,Nigeria,Community Outreach Specialist,De-engineered clear-thinking implementation,2019-09-26,2020-01-19,5587.44,NGN
Universitas Hasanuddin,Batas Barat,Indonesia,Director of Sales,Re-engineered real-time circuit,2016-08-26,2017-03-01,3955.13,IDR
Abfi Institute Perbanas Jakarta,Banjar Cemenggon,Indonesia,Desktop Support Technician,Organic zero administration interface,2017-05-18,2017-12-15,4538.41,IDR
Universidad Nacional de Río Cuarto,Monteros,Argentina,Compensation Analyst,Digitized heuristic methodology,2016-06-01,2016-10-15,9854.02,ARS
Wuhan Automobile Polytechnical University,Tulihe,China,Executive Secretary,Object-based client-server hub,2019-10-08,2019-12-04,9564.53,CNY
Universidade de Coimbra,Argivai,Portugal,Assistant Professor,User-friendly reciprocal architecture,2019-01-26,2019-07-20,1100.37,EUR
University of Belgrade,Boljevac,Serbia,Clinical Specialist,Future-proofed optimal secured line,2018-08-28,2018-09-06,407.5,RSD
Westminster International University in Tashkent,Quva,Uzbekistan,Social Worker,Ergonomic systematic encoding,2018-09-12,2018-11-15,2418.52,UZS
Kasem Bundit University,Samut Prakan,Thailand,Accountant IV,Reduced responsive internet solution,2017-03-11,2017-10-04,3890.81,THB
Universitas Jenderal Soedirman,Aikmel,Indonesia,Geologist II,Re-engineered 4th generation time-frame,2019-01-11,2019-06-29,2665.97,IDR
